4667.jpg	A woman is getting married. She is wearing a purple and gold outfit. She is getting married to a man. The man is wearing a pink outfit. The woman is wearing a headpiece. The woman is getting married in a white flower.
4898.jpg	A woman in traditional attire is looking up at a man in traditional attire who is holding a small object in his hand.
5044.jpg	A woman in a white dress is standing on the steps of a building.
5191.jpg	A man and a woman are embracing each other. The man is wearing a white shirt and the woman is wearing a white saree. They are standing in front of a fire.
5389.jpg	A man wearing a turban is standing in front of a crowd of people.
5629.jpg	The woman is wearing a veil and a necklace.
5869.jpg	A man in white robes is walking in a room with other men in white robes. The man in white robes is wearing a necklace and a ring. The other men are standing in a line behind the man in white robes. The room has a wooden wall and a white floor.
6121.jpg	A group of soldiers are standing in a line, facing a woman who is standing in front of them. The soldiers are wearing white uniforms and carrying spears. The woman is wearing a white dress and a black hat. The scene takes place in front of a building with a balcony. The sky is cloudy.
6402.jpg	A woman in traditional Indian attire is walking down a hallway.
6514.jpg	A group of people are dancing in front of a building. They are wearing traditional Indian clothing and holding swords and torches. The building has arches and a chandelier.
6693.jpg	A woman wearing a white headscarf is holding a wooden stick.
6900.jpg	A woman in a red and gold sari is holding a plate of food.
7168.jpg	A woman in a purple sari is dancing in the center of a courtyard. She is surrounded by a group of women in colorful saris. The women are standing in a semi-circle around the woman in the purple sari. The women in the semi-circle are holding up their hands in a prayer-like position. The background shows a building with arches.
7270.jpg	Two women are dancing in a room. The women are wearing traditional Indian saris. The women are wearing gold jewelry. The women are wearing upas - styled hair. The room is lit by candles. There is an audience watching the women dance.
7386.jpg	A man in traditional white attire is holding a bow. He is standing in front of a building with ornate columns. The sky is orange.
7595.jpg	A woman in a red saree and a man in a green shirt are standing in front of a red wall. The woman is smiling and looking at the man.
7835.jpg	The scene is set in a courtyard. There is a large crowd of people in the courtyard.
8011.jpg	A man in armor is holding a sword.
8142.jpg	A group of people are standing in a desert. They are wearing traditional Indian clothing.
8361.jpg	A woman is standing in the rain. She is wearing a black top and black skirt. She has long hair.
8636.jpg	A woman is standing in the middle of a large field. She is wearing a long dress. The sky is dark and cloudy. In the background, there is a large body of water and mountains. There is a structure on the left side of the image.
8804.jpg	A man with a beard is looking at a woman with her hair in a bun. The man is wearing a white sleeveless shirt and the woman is wearing a white top. They are standing on a bridge.
8924.jpg	A man is standing in the water. He is wearing a necklace and a bracelet.
9043.jpg	A woman is standing in a dark room. She is wearing a long dress.
9269.jpg	The image shows a list of names.
1.jpg	The image is a certificate of film certification.
283.jpg	A bald man is standing in a room with a chandelier.
485.jpg	The woman is wearing a traditional Indian outfit. She is wearing a gold necklace and earrings. She is wearing a gold bindi on her forehead. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold necklace and earrings. She is wearing a gold
615.jpg	The scene is from an Indian movie. It shows a group of warriors in battle attire, wearing helmets and armor. They are in a battle scene, with a cloudy sky in the background. The warriors are holding weapons and appear to be in the middle of a battle.
761.jpg	Two women are standing in front of a building. The woman on the left is wearing a red headscarf and a pink dress. The woman on the right is wearing a gold necklace and a purple and gold dress.
998.jpg	A large group of people are walking through a valley.
1136.jpg	A group of soldiers are standing in a line, holding torches. They are wearing traditional Indian military uniforms. In the background, there is a row of cannons. The sky is dark and cloudy.
1255.jpg	This is a scene from a movie. In the foreground, there is a group of men wearing helmets and chainmail shirts. In the background, there is a warrior wearing a brown tunic and a chainmail shirt. The warrior is holding a sword and is standing in front of a group of men who are also wearing helmets and chainmail shirts. The men are holding flags. The setting appears to be a battlefield.
1354.jpg	A man in medieval attire is holding up his right hand in a peace sign. He is wearing a helmet and chainmail.
1458.jpg	A man is standing in the snow. He is wearing a helmet, a warrior armor, and a cloak.
1655.jpg	A man is embracing a woman. The woman is wearing a gold chain necklace. The man is wearing a white shirt. The background is blurred.
1850.jpg	A woman in a white and gold wedding dress is standing in front of a grand fountain. She is holding a red rose in her hand.
2058.jpg	A man is standing in front of a window. He is wearing a white shirt.
2296.jpg	A man is riding a horse in a scene. The man is wearing a traditional turban and a white shirt. The horse is black and is wearing a saddle. The scene is set in a village with buildings and trees in the background. There are also other people in the scene, some of whom are wearing traditional turbans.
2447.jpg	A woman is sitting in a chair and smiling. She is wearing a yellow purple sari and a helmet. A man is standing in front of her and smiling. He is wearing a detailed, patterned cloak. The setting is a room with a green wall and a chandelier.
2650.jpg	A muscular man is standing in a room with tall columns. He is wearing a mask and is holding a knife.
2880.jpg	A woman in a white dress is standing in a doorway.
3163.jpg	A woman is sitting on a throne in a room with gold decorations.
3337.jpg	The scene is set in a large, opulent room with a high ceiling. The room is decorated with ornate decorations. A group of women are dancing in the center of the room. They are wearing elaborate, flowing dresses. The women are dancing in a coordinated manner, with their arms raised and their dresses flowing around them.
3541.jpg	A man is sitting in a chair in a room. He is wearing a crown and a yellow outfit.
3773.jpg	A woman is seen in a dimly lit room. She is wearing a white dress and gold jewelry. She is kneeling on a vibrant red rug.
3973.jpg	A woman in dark attire is standing in a dark room.
4203.jpg	A man with a long beard is sitting on a throne. He is wearing a red robe and a crown. He is also wearing a necklace and a ring. The throne is made of wood and is decorated with a chandelier and a mirror. The room is decorated with candles and a curtain.
4373.jpg	A group of people are dancing in a tent.
4492.jpg	This is a scene from an Indian movie. The scene is set in a large hall with a chandelier hanging from the ceiling. There are many men in the scene, all wearing traditional Indian attire. The men are wearing turbans and are engaged in a physical activity, possibly a dance or a fight. The men are wearing white pants and are wearing black tops. The scene is very dynamic and the men are moving quickly. The setting is very traditional and the men are dressed in traditional Indian attire.
